PYTANIE,ODP
Modele matematyczne a modele fizyczne, Modele matematyczne: sfera; elipsoida – opisywalne w sposób matematyczny; można podać jawne wzory; można konstruować odwzorowania kartograficzne. Model fizyczny: geoida – najlepiej opisuje rzeczywisty kształt Ziemi; nie ma modelu matematycznego; nie da się tworzyć odwzorowań.
Definicja geoidy, Model fizyczny; zaproponowany przez Listinga w XIX w.; powierzchnia geoidy pokrywa się na obszarach morskich z powierzchnią Ziemi i przedłużona jest na obszary lądowe w sposób umowny; w taki sposób; aby w każdym miejscu jej powierzchnia była prostopadła do tzw. lokalnego pionu.
Definicja elipsoidy, Model matematyczny; uwzględnia we wzorze parametry szczególne – promień równikowy i biegunowy (równikowy jest 21 km dłuższy). Powstaje przez obrót elipsy wokół osi ziemskiej. Można z łatwością konstruować układy współrzędnych krzywoliniowych - co pozwala na pomiary w dużych skalach (przydatny do konstrukcji map wielkoskalowych; gdy model sferyczny ze względu na ujawniającą się geometrię nieeuklidesową (eliptyczną) staje się niewystarczający). Elipsoida jest elementem systemu odniesienia – powierzchnią odniesienia. Na przestrzeni wieków skonstruowano wiele elipsoid; m.in: model Bessela – obowiązujący w Polsce do 1952 roku; model Krasowskiego – obowiązujący w Polsce do 2000 r.; WGS84 – aktualna powierzchnia odniesienia.
Definicja elipsoidy ziemskiej, Elipsoida ułożona w taki sposób; aby była jak najbardziej zbliżona do realnego kształtu Ziemi. Maksymalne odchylenia między geoidą a elipsoidą ziemską wynoszą do 100 m w skali świata; w Polsce kilkanaście m.
Definicja sfery, Najbardziej ogólny model matematyczny; opisywalny wzorem. Sprawdza się przy konstrukcji map małoskalowych (przedstawiających duże obszary). Lokalnie powierzchnia sfery spełnia aksjomaty Euklidesa jednakże globalnie ujawnia się nieeuklidesowa geometria eliptyczna – przysparzająca problemów związanych z konstrukcją map wielkoskalowych przy użyciu tego modelu; a także w dokonywaniu pomiarów na tych mapach.
Jak poszczególne modele ziemi wpływają na pomiary?, Sfera – pozwala na dokonywanie pomiarów na mapach małoskalowych; w dużych skalach spore problemy natury geometrycznej. Elipsoida – lepsze przybliżenie kształtu Ziemi; pozwala na konstrukcję układu współrzędnych krzywoliniowych; a stąd możliwe jest dokonywanie pomiarów. Geoida – nieopisywalna matematycznie; nie można na jej podstawie wyznaczać punktów osnowy geodezyjnej. 
Wady i zalety modeli w kontekście konstrukcji odwzorowań, Sfera – łatwoopisywalna matematycznie; ale sprawdza się jedynie do map małoskalowych (problemy geometryczne w dużych). Elipsoida – koszt obliczeniowy nieco większy niż sfery; ale pozwala na szczegółowe pomiary na mapach wielkoskalowych; wyznaczanie punktów osnowy geodezyjnej.
W jaki sposób wyznacza się kształt geoidy?, Szereg pomiarów – astronomicznych; grawitacyjnych; niwelacyjnych; satelitarnych.
Czym jest GNSS?, GNSS – globalne systemy nawigacji satelitarnej; główne zadanie – wyznaczanie pozycji użytkownika. Do GNSS zalicza się: GPS (USA); GLONASS (Rosja); Galileo (UE); QZSS (Japonia); BeiDou (Chiny). W dużym uproszczeniu zasada wyznaczania pozycji opiera się na znajomości współrzędnych satelitów w momencie wysyłania sygnału i pomiarze pseudoodległości od satelity do odbiornika.
Wpływ matematycznych modeli ziemi na pomiary GNSS, Pomiary GNSS dokonywane są na podstawie modelu elipsoidalnego – korzystanie z osnowy geodezyjnej.
Co to system odniesienia?, Zbiór zaleceń i ustaleń oraz stałych wraz z opisem modeli.
Systemy odniesienia pionowego i poziomego w Polsce, Pionowe: Kronsztad do 2023 r. (poziom Morza Bałtyckiego); nowy: Amsterdam (poziom Morza Północnego). Poziome: układy UTM (cały świat; w Polsce 3 pasy; Merkator); 2000 (wielkoskalowe; G-K); 1992 (mało i średnio skalowe; G-K).
Elementy składowe systemu odniesienia, układy wysokościowe (max. do 2023 r. Kronsztad (poziom Morza Bałtyckiego) nowy: Amsterdam (poziom Morza Północnego)); geodezyjne układy odniesienia (osnowa geodezyjna; pomiary satelitarne GNSS); układy współrzędnych (kartezjańskie i  geodezyjne); układy współrzędnych płaskich prostokątnych (układy UTM (3 pasy po 6 stopnie) – Merkator; elipsoida: WGS84; 2000 (4 pasy po 3 stopnie); 1992 (jeden pas – 10.3 stopnia) – Gauss-Kruger; elipsoida: GRS80). 
Definicja odwzorowania kartograficznego, Umowny sposób przyporządkowania punktom na powierzchni kuli ziemskiej punktów na płaszczyźnie. Opisywalne w sposób matematyczny. W matematyce znane pod nazwą mapy matematycznej. Jest funkcją odwrotną do parametryzacji.
Typy klasyfikacji odwzorowań, Ze względu na: sposób tworzenia (rzutowanie lub analityczne); zniekształcenia (kątów; powierzchni; odległości; dowolne (kompromisowe)); powierzchnię rzutowania (azymutalne; stożkowe; walcowe; powierzchnie zmodyfikowane); punkt z którego rzutujemy (centralne; ortograficzne; stereograficzne); położenie płaszczyzny rzutowania (styczne; sieczne; odległe); położenie płaszczyzny rzutowania względem ziemi (normalne; poprzeczne; ukośne). 
Zastosowanie map wykazujących różne zniekształcenia, Wiernokątne – nawigacja lotnicza i morska (zachowywane są azymuty) i mapy topgraficzne; wiernopowierzchniowe – mapy poglądowe; tematyczne; ogólnogeograficzne; w atlasach; wiernoodległościowe – mapy samochodowe (zachowany jeden z kierunków głównych); artystyczne; kompromisowe – w atlasach; przedstawianie zjawisk globalnych.
Przykłady różnych odwzorowań, Wiernokątne: stereograficzne; Merkator; wiernopowierzchniowe: Lambert; Eckerty (parzyste); wiernoodległościowe: Postela; Two points-equidistant; kompromisowe: Mollweide; Eckerty (nieparzyste); azymutalne: ortograficzne; stereograficzne; stożkowe: Lambert; walcowe: Merkator; pseudoazymutalne: Wagner VII; pseudostożkowe: Bonne’a; pseudowalcowe: Eckerty; wielościenne: Van der Grinten I.
Jak przeznaczenie mapy wpływa na dobór odwzorowania; skali; treści?, Położenie obiektu na kuli ziemskiej i jego wielkość – dobieramy powierzchnię normalne lub stożkowe lub walcowe; w zależności od zastosowania – dobieramy typ zniekształceń; koszt obliczeniowy – typ konstrukcji siatki. Skala: mianowana; liczbowa; ułamkowa; opisowa; podziałka liniowa (okrągłe przedziały). Treść – generalizacja wpływa na nią skala mapy; cel wizualizacji (ilościowa – liczba obiektów lub jakościowa – sygnatury).
Typy skal,liczbowa; mianowana; opisowa; ułamkowa; podziałka liniowa.
Poziomy pomiarowe w kartografii, ilościowy; porządkowy; jakościowy.
Kryteria klasyfikacji map, treść (ogólnogeograficzne; tematyczne); skala (wielko - do 1:20 000; średnio – do 1:100 000; mało); przedstawiony obszar (gminy; państwa; świat…); forma prezentacji (jakościowe – sygnatury; zasięgi; powierzchniowa; ilościowe – kropkowe; kartogram; kartodiagram; izolinie); sposób wykorzystania.
Najważniejsze cechy mapy, zmniejszenie; generalizacja; wymierność (metryczność); mapa to graficzny obraz kuli ziemskiej.
Mapa topograficzna, mapa wielkoskalowa; ogólnogeograficzna; odwzorowanie powinno mało zniekształcać odległości i kąty (stosuje się Merkatora; Gaussa-Krugera)
Redagowanie i użytkowanie map, Baza danych → (transformacje) → dane przetworzone → (wizualizacja) → forma prezentacji. Co trzeba ogarnąć: co chcemy przedstawić; kto jest odbiorcą; skala; dostępność danych; jakie przetworzenia należy wykonać; co można zmienić w zbiorze danych.
Etapy redagowania mapy, – etap redakcyjny (merytoryczne i graficzne opracowanie mapy; generalizacja treści mapy; rozmieszczenie napisów); – legenda (kompletna; logicznie uporządkowana); – projektowanie znaków graficznych (czytelność; rozróżnialność; poglądowość; hierarchia); – generalizacja (przeprowadzana w sposób celowy; jakościowa – zmiana symbolu; ilościowa – redukcja symboli; upraszczanie linii i konturów).
Typy danych geoinformatycznych, punktowe; liniowe; powierzchniowe.
Zmienne graficzne, barwa (ton - jasność - nasycenie); jasność; kształt; orientacja; wielkość; ziarnistość.
Mapa jako podstawa i efekt badania naukowego – narzędzie pracy geografa, Mapa jest podstawowym narzędziem pracy geografa. Pozwala zarówno pozyskać informacje o obszarze jak i przedstawić wyniki badań w odniesieniu do przestrzeni. Geografią jest wszystko co da się przedstawić na mapie.
Możliwości prezentacji kartograficznej - dostosowanie metod i form prezentacji do opracowywanego zagadnienia,Metody prezentacji: ilościowe (izolinie; kropkowa; kartogram; kartodiagram); jakościowe (sygnaturowa; zasięgów; powierzchniowa). Kartogramem przedstawiamy dane względne (jeśli pokażemy dane bezwzględne może to prowadzić do zakłamania rozłożenia zjawiska – będą wyróżniać się bardziej obszary np. o mniejszym zaludnieniu czy mniejszej powierzchni). Metoda prezentacji powinna zostać dobrana w sposób logiczny.
Efektywność prezentacji kartograficznej; możliwości percepcyjne odbiorcy,Rozróżnialność kolorów przez odbiorcę; generalizacja; problem z napisami na mapach; czytelność legendy; takie same znaki w legendzie jak i na mapie.
GIS historyczny oraz przykłady jego wykorzystania do analiz map dawnych,Np. Mapy WIG – pobieranie starych arkuszy map; następnie ich kalibracja (na współrzędne lub na obiekty charakterystyczne); wektoryzacja; analizowanie zmian wykorzystania obszarów itd.
Układ odniesienia,praktyczna realizacja systemu odniesienia; punkty osnowy geodezyjnej. Fizyczną realizacją układu współrzędnych (jego powiązania z fizyczną Ziemią) jest układ odniesienia. Dokonuje się to poprzez punkty (stacje) geodezyjne; którym na drodze procesów pomiarowych nadaje się; określone współrzędne elipsoidalne (geodezyjne). Inaczej mówiąc - samo pojęcie układu współrzędnych pozostaje kategorią czysto teoretyczną dopóty nie zostaje on zmaterializowany poprzez osnowy geodezyjne. 
Układ współrzędnych,położenie punktu względem wybranych osi układu odniesienia; pojęcie teoretyczne dopóki niezostanie zmetrializowane poprzez punkty osnowy geodezyjnej.
Powierzchnia odniesienia,model elipsoidy za pomocą którego konstruowane są odwzorowania